Course,Course Title,Class Section Availability,Course Start/End Date,Credits,Schedule,Instructor,Class Type,Delivery Method,Course Attribute,Class Comments,Avail Seats:,Course Schedule
FYE101,First Year Experience,14 ET,8/19/2025 to 12/4/2025,1,TR 9:30AM - 10:20AM,"Brooks,Daniel",,On Campus,NA,11/14/2025,5 of 24,Click for Details
EET311,Computer Solutions of Engineering Problems,21,8/19/2025 to 12/4/2025,3,TR 12:30PM - 2:45PM,"Sarge,Clark",,On Campus,Fall Only,11/14/2025,0 of 18,Click for Details
MTH181,College Algebra & Trigonometry I,24,8/19/2025 to 12/4/2025,3,TR 1:30PM - 3:15PM,"Jacobs,Lisa",,On Campus,NA,W/D 11/14/2025,13 of 25,Click for Details
MTT223,Machine Tool Applications for Fabrication & Repair,41,8/18/2025 to 12/3/2025,3,M 5:00PM - 5:50PM...,"Nace,Matthew",,On Campus,NA,11/14/2025,0 of 15,Click for Details
ABM310,Automotive Management & Customer Service,98,8/19/2025 to 12/2/2025,3,T 5:00PM - 6:15PM,"Garner,Ronald",,Hybrid,NA,"11/14/2025
50% of instruction via distance",0 of 16,Click for Details
CCD238,Engineering Drawing Dimension & Tolerance Specifications,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 10:15AM,"Tomassacci,Kendra",,On Campus,Fall Only,11/14/2025,0 of 18,Click for Details
WEL410,Industrial Weld Design,41,8/18/2025 to 12/3/2025,3,MW 5:00PM - 7:15PM,"Colton,James",,On Campus,Fall Only,withdraw date 11/14/25,-1 of 15,Click for Details
PHL110,Introduction to Philosophy,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Account,Test",,Distance Learning,NA,W/D 11/14/2025,0 of 25,Click for Details
PHA640,Family Medicine Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Dorman,Heather",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",5 of 5,Click for Details
HSJ363,Advanced Crisis,1,8/18/2025 to 12/3/2025,3,MW 9:30AM - 10:45AM,"Alberti,Susan",,On Campus,NA,W/D 11/14/2025,8 of 20,Click for Details
CSC124,"Information, Technology & Society",8,8/18/2025 to 12/5/2025,3,MWF 10:00AM - 10:50AM,"Webb,Melissa",,On Campus,NA,11/14/2025,0 of 24,Click for Details
MET220,Mechanical Power Transmission Systems,22,8/18/2025 to 12/3/2025,4,MW 1:30PM - 2:45PM...,"Dincher,James",,On Campus,Fall Only,11/14/2025,0 of 9,Click for Details
DSM287,Heavy Construction Vehicle Laboratory,1,8/21/2025 to 12/4/2025,1,R 8:00AM - 10:45AM,"Weaver,Christopher",,On Campus,NA,WD 11/14/2025,0 of 14,Click for Details
CIM102,Introduction to CAD/CAM,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 10:15AM,"Davies,Luke",,On Campus,NA,11/14/2025,11 of 22,Click for Details
RAD109L##,Radiographic Anatomy & Positioning I Lab,1,8/20/2025 to 12/3/2025,0,W 8:00AM - 9:15AM,"Smith,Allen",,On Campus,NA,11/14/2025,1 of 7,Click for Details
PAS641,Internal Medicine Clinical Experience,1,8/18/2025 to 9/19/2025,4,No scheduled meetings,"Sedor,Melissa",,Off Campus,NA,"September 12, 2025
Callback dates 9/18/2025 & 9/19/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",5 of 5,Click for Details
SPC101,Fundamentals of Speech,24,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Boone,George",,On Campus,NA,W/D 11/14/20025,7 of 20,Click for Details
PAS643,Behavioral & Mental Health Care Clinical Experience,3,11/3/2025 to 12/12/2025,4,No scheduled meetings,"Mix,Cheressa",,Off Campus,NA,"December 4, 2025
Callback dates 12/11/2025 &12/12/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",4 of 5,Click for Details
WEL249,Robotic Welding,25,8/19/2025 to 12/4/2025,3,TR 5:00PM - 6:45PM...,"Biddle,Aaron",,On Campus,NA,withdraw date 11/14/25,0 of 15,Click for Details
RAD220L##,Radiographic Anatomy & Positioning III Lab,3,8/22/2025 to 12/5/2025,0,F 10:00AM - 11:15AM,"Cao,Qiang",,On Campus,NA,11/14/2025,0 of 7,Click for Details
NUR525,Trends in Nursing & Health Care,90,8/18/2025 to 10/10/2025,3,No scheduled meetings,"Account,Test",,Distance Learning,NA,"9/30/2025
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance
Times to be arranged",0 of 3,Click for Details
BIO115,Human Anatomy & Physiology I,98,8/18/2025 to 12/1/2025,4,M 5:30PM - 9:15PM,"Hensler Jansen,Laura",,Hybrid,NA,"W/D 11/14/25
50% in-person, 50% distance",6 of 24,Click for Details
CAD122,3D Parametric Modeling Using Autodesk Inventor(R),21,8/18/2025 to 12/3/2025,3,MW 12:00PM - 2:15PM,"Tomassacci,Kendra",,On Campus,NA,11/14/2025,11 of 18,Click for Details
NUR271L##,Nursing Care of Children Lab,71,8/30/2025 to 11/22/2025,0,S 6:30AM - 3:15PM,"Account,Test",,Off Campus,NA,"10/31/2025
Requires Associated Class NUR271-90	
Restricted to NL/NLD major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",0 of 6,Click for Details
BSD420,Renewable Energy Technologies,1,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Gerring,Dorothy",,On Campus,Fall Only,11/14/2025,0 of 1,Click for Details
CIM228,Advanced Multi-axis CNC Machining & Programming,1,8/19/2025 to 12/4/2025,4,TR 8:00AM - 8:50AM...,"Account,Test",,On Campus,NA,11/14/2025,2 of 14,Click for Details
HEO141,Heavy Equipment Electrical Systems,2,8/18/2025 to 12/3/2025,2,M 1:00PM - 1:50PM...,"Peck,Ryan",,On Campus,Fall Only,WD 11/14/2025,5 of 12,Click for Details
FHD138,Cakes & Decorations,21,10/3/2025 to 11/21/2025,1,F 2:00PM - 8:45PM,"Keeley,Todd",,On Campus,NA,W/D 11/10/25,-1 of 16,Click for Details
SPC201,Interpersonal Communication,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Hill,Joshua",,Distance Learning,NA,W/D 11/14/2025,0 of 21,Click for Details
PAS524,Pathophysiology I,1,8/18/2025 to 12/3/2025,2,W 8:00AM - 8:50AM...,"Kavanagh,Kimberly",,On Campus,Fall Only,11/14/2025,5 of 30,Click for Details
WEL102,Welding Blueprint & Layout,21,8/19/2025 to 12/4/2025,3,TR 12:00PM - 2:15PM,"Allen,Michael",,On Campus,NA,withdrawal date 11/14/25,4 of 15,Click for Details
BEM250,Spatial Analysis in Emergency Management,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Schlosser,William",,Distance Learning,NA,W/D 11/14/2025,7 of 10,Click for Details
ECO111,Principles of Macroeconomics,2,8/18/2025 to 12/3/2025,3,MW 11:00AM - 12:15PM,"Baumgardner,Gerald",,On Campus,NA,W/D 11/14/2025,0 of 25,Click for Details
ABC210,Collision-Related Mechanical Application,1,8/21/2025 to 12/5/2025,2,RF 8:00AM - 10:45AM,"Bruckhart,Loren",,On Campus,Fall Only,11/14/2025,8 of 18,Click for Details
EET246,Robotics & Fluid Power,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 10:15AM,"Kinley,Kenneth",,On Campus,Fall Only,11/14/2025,0 of 12,Click for Details
HIS116,World History I,22,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Miller BAS,Craig",,On Campus,Fall Only,W/D 11/14/2025,-1 of 25,Click for Details
WEL249,Robotic Welding,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 9:15AM...,"Rhinehart,Ty",,On Campus,NA,withdraw date 11/14/25,0 of 15,Click for Details
CIT160,Introduction to Programming,22,8/18/2025 to 12/3/2025,3,MW 3:30PM - 4:45PM,"Maize,John",,On Campus,NA,11/14/2025,20 of 22,Click for Details
NUR353,Teaching & Learning Concepts & Strategies,91,8/18/2025 to 10/10/2025,2,No scheduled meetings,"Account,Test",,Distance Learning,NA,"9/30/25
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance",6 of 28,Click for Details
DSM242L##,Diesel Equipment Air Conditioning Systems Lab,03 HE/CH,8/18/2025 to 12/5/2025,0,R 3:00PM - 5:45PM,"Conklin,Brad",,On Campus,NA,WD 11/14,0 of 15,Click for Details
ENL111,English Composition I,8,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Davner,Aliza",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
NUR330L##,Obstetrical Nursing Lab,21,8/18/2025 to 11/17/2025,0,M 2:30PM - 10:15PM,"Account,Test",,Off Campus,NA,"10/27/2025
Requires Associated Class NUR330-01	
Restricted to BGN major
Health/nursing requirements needed
See clinical grid for details
Times may vary by site
Transportation needed
Additional times to be arranged",1 of 7,Click for Details
BCM199B,Introduction to Plan Reading,2,10/13/2025 to 12/12/2025,1,MF 10:00AM - 11:45AM,"Account,Test",,On Campus,NA,12/2/2025,18 of 20,Click for Details
ACH101,Introduction to Architecture,23,8/20/2025 to 12/3/2025,1,W 12:30PM - 2:15PM,"Demmien,Kara",,On Campus,Fall Only,11/14/2025,-1 of 15,Click for Details
RAD219,Principles of Radiographic Exposure II,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Cao,Qiang",,On Campus,Fall Only,11/14/2025,2 of 29,Click for Details
PSY111,General Psychology,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Wahl,Jennifer",,Distance Learning,NA,W/D 11/14/2025,12 of 25,Click for Details
PSY266,Gerontology & Aging,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Slamka,Susan Koons",,Distance Learning,NA,W/D 11/14/2025,16 of 25,Click for Details
DSM156,Heavy Equipment Brake Systems,1,8/22/2025 to 12/5/2025,2,F 12:00PM - 1:45PM,"Weaver,Christopher",,On Campus,NA,WD 11/14/2025,1 of 22,Click for Details
HIS136,United States Survey to 1877,98,8/18/2025 to 12/3/2025,3,MW 11:00AM - 11:50AM,"Chappo,John",,Hybrid,NA,"W/D 11/14/2025
67% in-person, 33% distance",5 of 25,Click for Details
PLH113,Mechanical Systems Design & Operation,3,8/19/2025 to 12/4/2025,4,TR 8:00AM - 8:50AM...,"Bridgens,Marc",,On Campus,NA,11/14/2025,0 of 13,Click for Details
MTH123,Technical Algebra & Trigonometry I,26,8/19/2025 to 12/4/2025,3,TR 12:30PM - 2:15PM,"Yoder,Kimberly",,On Campus,NA,W/D 11/14/2024,6 of 22,Click for Details
ACR221,Refrigeration Applications - Commercial Installation/Service,2,8/18/2025 to 12/3/2025,4,MW 9:00AM - 9:50AM...,"Manbeck,Stephen",,On Campus,NA,11/14/2025,-4 of 16,Click for Details
NUR428,Community Health Nursing,98,8/21/2025 to 12/4/2025,4,R 10:00AM - 11:45AM,"Stone,Teresa",,Hybrid,NA,"11/14/2025
Restricted to BGN Major 
Requires Associated Class NUR 428L
25% of instruction via distance
Webcam required for exam proctoring
May require identity verification fees",0 of 25,Click for Details
CIT240,Introduction to UNIX/Linux,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Warner,Phillip",,On Campus,NA,11/14/2025,0 of 22,Click for Details
FIN370,Money & Banking,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Fletcher,Roy",,Distance Learning,Fall Only,W/D 11/14/2025,-1 of 20,Click for Details
CSC124,"Information, Technology & Society",46,8/18/2025 to 12/3/2025,3,MW 5:00PM - 6:15PM,"Account,Test",,On Campus,NA,11/14/2025,0 of 24,Click for Details
FIN350,Finance,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Fletcher,Roy",,Distance Learning,NA,W/D 11/14/2025,1 of 20,Click for Details
BEM210,Disaster Preparation & Planning,1,8/19/2025 to 12/4/2025,3,TR 9:30AM - 10:45AM,"Bjorkman,David",,On Campus,Fall Only,W/D 11/14/2025,7 of 15,Click for Details
NUR410,Community Health Nursing for  the Practicing RN,90,10/13/2025 to 12/12/2025,4,No scheduled meetings,"Account,Test",,Distance Learning,NA,"12/2/25
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance",0 of 25,Click for Details
PAS642,Emergency Medicine Clinical Experience,2,9/22/2025 to 10/31/2025,4,No scheduled meetings,"Dorman,Heather",,Off Campus,NA,"October 23, 2025
Callback dates 10/30/2025 &10/31/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",2 of 5,Click for Details
ART140,Ceramics,3,8/18/2025 to 12/3/2025,3,MW 8:00AM - 10:15AM,"Kaplan,Gerald",,On Campus,NA,W/D 11/14/2025,0 of 16,Click for Details
MTT128,Mill Applications,1,8/18/2025 to 12/5/2025,4,M 8:00AM - 8:50AM...,"Troup,Howard",,On Campus,NA,11/14/2025,0 of 14,Click for Details
BIO115,Human Anatomy & Physiology I,24,8/18/2025 to 12/5/2025,4,MWF 12:30PM - 1:45PM...,"Avery,Karen",,On Campus,NA,W/D 11/14/2025,14 of 24,Click for Details
AVI170,Aircraft Engine Troubleshooting & Inspection,2,9/15/2025 to 10/10/2025,4,MTWRF 8:00AM - 9:15AM...,"Robison,Michael",,On Campus,Fall Only,10/6/2025,1 of 18,Click for Details
CST210,Concrete Construction Estimating,98,8/19/2025 to 12/2/2025,3,T 5:00PM - 6:45PM,"Dibucci,Joseph",,Hybrid,NA,"11/14/2025
60% in person and 40% online.",1 of 18,Click for Details
MET315,Engineering Economics,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Barilla,Adam",,On Campus,NA,11/14/2025,13 of 20,Click for Details
CCD238,Engineering Drawing Dimension & Tolerance Specifications,21,8/19/2025 to 12/4/2025,3,TR 1:00PM - 3:15PM,"Tomassacci,Kendra",,On Campus,Fall Only,11/14/2025,0 of 18,Click for Details
BHV400,Commercial Refrigeration Systems Design,1,8/18/2025 to 12/3/2025,3,MW 12:00PM - 2:15PM,"Kishbaugh,Bradley",,On Campus,Fall Only,11/14/2025,-1 of 18,Click for Details
WEL252,Welding Blueprint & Layout II,21,8/18/2025 to 12/3/2025,3,MW 2:30PM - 3:20PM...,"Colton,James",,On Campus,NA,withdraw date 11/14/25,0 of 15,Click for Details
WEL240,Basic CNC Programming,41,8/18/2025 to 12/3/2025,3,MW 5:00PM - 7:15PM,"Meck,Allan",,On Campus,NA,withdraw date 11/14/25,-1 of 15,Click for Details
ELT240,Construction Lab IV-Practical Experience,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 12:15PM,"Morse,Darrin",,On Campus,NA,11/14/2025,4 of 10,Click for Details
MGT301,Business Law I,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Derr,Kevin",,Distance Learning,NA,W/D 11/14/2025,-3 of 20,Click for Details
MKT243,Sales,1,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Moff,Steven",,On Campus,NA,W/D 11/14/2025,5 of 20,Click for Details
EET145,Networking I,2,8/18/2025 to 12/5/2025,4,MWF 11:00AM - 11:50AM,"Crossen,John",,On Campus,NA,11/14/2025,17 of 22,Click for Details
ENL201,Technical & Professional Communication,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Nagy,Eric",,Distance Learning,NA,W/D 11/14/2025,0 of 24,Click for Details
ENL201,Technical & Professional Communication,41,8/18/2025 to 12/1/2025,3,M 6:30PM - 9:15PM,"Account,Test",,On Campus,NA,W/D 11/14/2025,0 of 24,Click for Details
ACH112,Architectural History,2,8/19/2025 to 12/4/2025,3,TR 9:00AM - 11:15AM,"Account,Test",,On Campus,NA,11/14/2025,0 of 20,Click for Details
FYE101,First Year Experience,30 NHS,8/18/2025 to 12/3/2025,1,MW 2:00PM - 2:50PM,"Etzweiler,Jessica",,On Campus,NA,11/14/2025,0 of 24,Click for Details
BCM304,Advanced Estimating & Cost Control,2,8/18/2025 to 12/5/2025,3,MF 10:30AM - 12:45PM,"Group,Brandon",,On Campus,NA,11/14/2025,2 of 20,Click for Details
ENL111,English Composition I,28,8/18/2025 to 12/5/2025,3,MWF 1:00PM - 1:50PM,"Martin,Jeremy",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 20,Click for Details
DSM242,Diesel Equipment Air Conditioning Systems,2,8/18/2025 to 12/1/2025,2,M 1:00PM - 1:50PM,"Conklin,Brad",,On Campus,NA,WD 11/14/2025,-1 of 30,Click for Details
SOC111,Introduction to Sociology,1,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Bjorkman,David",,On Campus,NA,W/D 11/14/2025,8 of 25,Click for Details
MTH108,Elementary Algebra II,44,8/19/2025 to 12/4/2025,3,W 5:00PM - 5:50PM...,"Account,Test",,On Campus,NA,W/D 11/14/2025,1 of 21,Click for Details
MTT222,Fixture Design & Fabrication,1,10/13/2025 to 12/12/2025,4,MW 8:00AM - 8:50AM...,"Upcraft,John",,On Campus,NA,12/2/2025,0 of 14,Click for Details
NUR205,Perspectives on Aging,98,8/18/2025 to 12/5/2025,3,T 12:00PM - 2:45PM,"Account,Test",,Hybrid,NA,"11/14/25
Restricted to BGN major
Webcam required for exam proctoring
May require identity verification fees
10% instruction via distance",30 of 30,Click for Details
NUR320,Adult Health Nursing II,1,8/19/2025 to 12/2/2025,7,T 9:00AM - 11:45AM,"Account,Test",,On Campus,NA,"11/14/25
Restricted to BGN Major 
Requires Associated Class NUR 320L
Webcam required for exam proctoring
May require identity verification fees",0 of 15,Click for Details
SOC111,Introduction to Sociology,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"McKeon,Brian",,Distance Learning,NA,W/D 11/14/2025,1 of 25,Click for Details
CST204,Decorative Concrete,2,8/22/2025 to 12/5/2025,3,M 8:00AM - 9:45AM...,"Hintz,Harry",,On Campus,NA,11/14/2025,11 of 13,Click for Details
ART320,Environmental Graphic Design,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 10:15AM,"Flynn,Brian",,On Campus,Fall Only,W/D 11/14/2025,2 of 14,Click for Details
EET303,Industrial Electronics & Applications,1,8/18/2025 to 12/3/2025,3,MW 8:00AM - 10:15AM,"Moser,Randall",,On Campus,NA,11/14/2025,0 of 12,Click for Details
MTT222,Fixture Design & Fabrication,21,10/13/2025 to 12/12/2025,4,MW 1:00PM - 1:50PM...,"Ravizza,Daniel",,On Campus,NA,12/2/2025,5 of 14,Click for Details
MLS105,Introduction to the Army,21,8/20/2025 to 12/3/2025,1,W 3:30PM - 4:20PM,"Williams,Harry",,On Campus,NA,11/14/2025,17 of 20,Click for Details
EET205,Network Maintenance Laboratory,1,8/19/2025 to 12/4/2025,1,TR 2:00PM - 3:15PM,"Rice,Mark",,On Campus,NA,11/14/2025,5 of 17,Click for Details
PAS642,Emergency Medicine Clinical Experience,1,8/18/2025 to 9/19/2025,4,No scheduled meetings,"Dorman,Heather",,Off Campus,NA,"September 12, 2025
Callback dates 9/18/2025 & 9/19/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",3 of 5,Click for Details
PSC261,International Relations,90,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Miller BAS,Craig",,Distance Learning,NA,W/D 11/14/2025,2 of 5,Click for Details
CIT246,System Analysis I,21,8/18/2025 to 12/3/2025,3,MW 12:30PM - 1:45PM,"Cheskiewicz,Stephen",,On Campus,NA,11/14/2025,0 of 18,Click for Details
FYE101,First Year Experience,16 BUS,8/19/2025 to 12/4/2025,1,TR 9:30AM - 10:20AM,"Larson,David",,On Campus,NA,11/14/2025,13 of 24,Click for Details
ACR229,HVACR System Operations,1,8/18/2025 to 12/3/2025,5,MW 1:30PM - 3:15PM...,"Hampton,Daniel",,On Campus,Fall Only,11/14/2025,0 of 18,Click for Details
BCT260,Introduction to Electrical & Mechanical Systems,1,8/19/2025 to 12/4/2025,3,TR 12:00PM - 1:15PM,"Account,Test",,On Campus,NA,11/14/2025,6 of 18,Click for Details
PPT452,Building Molds & Dies,1,8/18/2025 to 12/1/2025,1,M 11:00AM - 1:45PM,"Nace,Matthew",,On Campus,Fall Only,withdrawal date 11/14/25,7 of 14,Click for Details
WEL400,Fabrication of Alloys,22,8/19/2025 to 12/4/2025,3,TR 1:00PM - 3:15PM,"Tanner,James",,On Campus,Fall Only,withdraw date 11/14/25,-1 of 15,Click for Details
NUR315,Nursing in an Aging Society,90,8/18/2025 to 10/10/2025,3,No scheduled meetings,"Furman,Melissa",,Distance Learning,NA,"9/30/2025
Webcam required for exam proctoring
May require identity verification fees
100% instruction via distance",7 of 28,Click for Details
HIS116,World History I,41,8/18/2025 to 12/3/2025,3,MW 5:00PM - 6:15PM,"Campbell,Andrea",,On Campus,Fall Only,W/D 11/14/2025,0 of 25,Click for Details
SOC111,Introduction to Sociology,2,8/18/2025 to 12/3/2025,3,MW 9:30AM - 10:45AM,"Cooley,Rob",,On Campus,NA,W/D 11/14/2025,0 of 25,Click for Details
AVI125,Aviation Basic Electricity I,1,10/13/2025 to 11/10/2025,2,MTWRF 11:45AM - 12:35PM...,"Keyser,Korey",,On Campus,Fall Only,11/3/2025,3 of 20,Click for Details
BCM378,Advanced Electrical Systems for Construction Managers,1,8/18/2025 to 12/3/2025,3,MW 2:30PM - 4:45PM,"Account,Test",,On Campus,NA,11/14/2025,0 of 20,Click for Details
BCT140,Roof Structures,1,8/18/2025 to 12/3/2025,3,MW 3:00PM - 3:25PM...,"Kahn,Bernard",,On Campus,NA,11/14/2025,5 of 18,Click for Details
SPC102,Fundamentals of Small Group Communication,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Stetter,Robin",,Distance Learning,NA,W/D 11/14/2025,0 of 20,Click for Details
ACH111,Architectural Graphics,22,8/19/2025 to 12/4/2025,3,TR 12:00PM - 3:15PM,"Saka,Tuna",,On Campus,Fall Only,11/14/2025,1 of 15,Click for Details
ACR116,Introduction to Refrigeration,3,8/18/2025 to 12/5/2025,4,MW 1:00PM - 1:50PM...,"McCracken,Cody",,On Campus,NA,11/14/2025,0 of 13,Click for Details
PPT451,Designing Molds & Dies,21,8/19/2025 to 12/2/2025,1,T 12:30PM - 3:15PM,"Barilla,Adam",,On Campus,Fall Only,withdrawal date 11/14/25,7 of 14,Click for Details
FOR254L##,Basic Tree Felling & Timber Operations Lab,2,8/20/2025 to 12/3/2025,0,W 8:00AM - 1:45PM,"Easton,Eric",,On Campus,NA,WD 11/14/2025,0 of 11,Click for Details
BCT117,Construction Materials & Application I,4,8/19/2025 to 12/4/2025,3,TR 11:00AM - 12:15PM,"Kahn,Bernard",,On Campus,NA,11/14/2025,13 of 18,Click for Details
HTH325,Healthcare Delivery Systems,91,8/18/2025 to 12/12/2025,3,No scheduled meetings,"Covone,Michael",,Distance Learning,NA,"W/D 11/14/25 
Times to be arranged. May require identity verification fees. 100% of instruction via distance.",13 of 22,Click for Details
NUR330,Obstetrical Nursing,1,8/21/2025 to 12/4/2025,4,R 9:00AM - 10:45AM,"Account,Test",,On Campus,NA,"11/14/25
Restricted to BGN Major 
Requires Associated Class NUR 330L
Webcam required for exam proctoring
May require identity verification fees",2 of 30,Click for Details
EET209,Systems Troubleshooting Applications,22,8/18/2025 to 12/3/2025,1,MW 3:00PM - 4:15PM,"Sarge,Clark",,On Campus,Fall Only,11/14/2025,3 of 12,Click for Details
MGT355,Quantitative Methods for Business,21,8/18/2025 to 12/3/2025,3,MW 2:00PM - 3:15PM,"Nededog,Jose",,On Campus,NA,W/D 11/14/2025,4 of 15,Click for Details
WEL252,Welding Blueprint & Layout II,1,8/19/2025 to 12/4/2025,3,TR 9:00AM - 9:50AM...,"Allen,Michael",,On Campus,NA,withdraw date 11/14/25,3 of 15,Click for Details
AVI165,Engine Electrical Systems,1,9/15/2025 to 10/10/2025,4,MTWRF 8:00AM - 9:15AM...,"Reasner,Brett",,On Campus,Fall Only,10/6/2025,8 of 18,Click for Details
CIT230,Fundamentals of Information Security,41,8/19/2025 to 12/4/2025,3,TR 5:00PM - 6:15PM,"Yoas,Daniel",,On Campus,NA,11/14/2025,16 of 18,Click for Details
FHD137,Introductory Baking,1,8/18/2025 to 10/8/2025,3,MW 7:00AM - 7:50AM...,"Account,Test",,On Campus,NA,W/D 9/30/2025,1 of 1,Click for Details
ENL201,Technical & Professional Communication,23,8/19/2025 to 12/4/2025,3,TR 2:00PM - 3:15PM,"Nagy,Eric",,On Campus,NA,W/D 11/14/2025,0 of 24,Click for Details
BIO115,Human Anatomy & Physiology I,23,8/19/2025 to 12/5/2025,4,F 8:00AM - 10:45AM...,"Kule,Chris",,On Campus,NA,W/D 11/14/2025,5 of 24,Click for Details
ABC207,Structural Repair Procedures,21,8/18/2025 to 12/3/2025,2,MW 12:00PM - 12:50PM,"Bruckhart,Loren",,On Campus,Fall Only,11/14/2025,7 of 18,Click for Details
CET203,Engineering Mechanics I,1,8/18/2025 to 12/3/2025,4,MW 8:00AM - 9:45AM,"McDonald,Ryan",,On Campus,Fall Only,withdrawal date 11/14/25,6 of 20,Click for Details
AVI200,Vintage Aircraft Structures,1,11/25/2025 to 12/12/2025,2,MTWRF 8:00AM - 9:15AM...,"Robison,Michael",,On Campus,Fall Only,12/10/2025,6 of 18,Click for Details
PAS644,Surgery Clinical Experience,1,8/18/2025 to 9/19/2025,4,No scheduled meetings,"Sedor,Melissa",,Off Campus,NA,"September 12, 2025
Callback dates 9/18/2025 & 9/19/2025, Health/Nursing requirements needed, May require identity verification fees, May require housing, Times may vary by site, Transportation needed",3 of 5,Click for Details
BBT209,Building Automation Industry,1,8/19/2025 to 12/4/2025,3,TR 8:00AM - 9:15AM,"Zimmerman,Craig",,On Campus,Fall Only,11/14/2025,1 of 15,Click for Details
ACR152,Fundamentals of HVAC Electrical Controls,2,8/19/2025 to 12/4/2025,4,TR 8:30AM - 9:20AM...,"Copp,Jacob",,On Campus,NA,11/14/2025,2 of 18,Click for Details
FYE101,First Year Experience,34 ET,8/19/2025 to 12/4/2025,1,TR 2:30PM - 3:20PM,"Jabbour,Naim",,On Campus,NA,11/14/2025,0 of 24,Click for Details
RAD225,Radiography Practicum III,3,8/19/2025 to 12/4/2025,1,TR 8:00AM - 3:45PM,"Dostick,Lisa",,Off Campus,Fall Only,"11/14/2025
Clinic times vary by site, to include days and occasional nights & weekends.
Transportation needed.",1 of 10,Click for Details
AMT113,Steering & Suspension,2,10/13/2025 to 11/7/2025,3,MTWR 8:00AM - 9:45AM...,"Faryniak,John",,On Campus,NA,11/3/2025,0 of 16,Click for Details
AMT276,Electrical/Electronic Accessory Service,2,8/18/2025 to 9/19/2025,4,MTWRF 8:00AM - 11:45AM...,"Holley,Christopher",,On Campus,NA,9/15/2025,3 of 16,Click for Details
ENL111,English Composition I,11,8/18/2025 to 12/5/2025,3,MWF 10:00AM - 10:50AM,"Wheeler,Shanna",,On Campus,ENL111 Summer Discount,W/D 11/14/2025,0 of 23,Click for Details
NUR214L##,Adult Medical-Surgical Nursing II Lab,21,8/27/2025 to 11/12/2025,0,W 2:30PM - 10:15PM,"Account,Test",,Off Campus,NA,"10/29/2025
Requires Associated Class NUR214 		
Lab restricted to lecture section 01 		
Health/nursing requirements needed
See grid for details
Additional times to be arranged
Times may vary by site
Transportation needed",1 of 8,Click for Details
BCT308,Residential Management II,2,8/19/2025 to 12/4/2025,2,TR 1:30PM - 2:15PM,"Kruppenbacher,Peter",,On Campus,NA,11/14/2025,3 of 18,Click for Details
FHD117,Purchasing,2,8/22/2025 to 12/5/2025,2,F 10:00AM - 11:45AM,"Farr-Lepper,Amanda",,On Campus,NA,W/D 11/14/2025,-1 of 16,Click for Details
